DATECODE	OCCFAM	OCCFAMT	OCC	OCCT	EMPCOUNT	AVGSAL	AVGLOS
202503	13	PHYSICAL SCIENCES GROUP	1301	GENERAL PHYSICAL SCIENCE	10323	138591	12.6
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	341	ADMINISTRATIVE OFFICER	10002	109248	16.6
202503	8	ENGINEERING AND ARCHITECTURE GROUP	861	AEROSPACE ENGINEERING	9928	143246	13.6
202503	9	LEGAL AND KINDRED GROUP	901	GENERAL LEGAL AND KINDRED ADMINISTRATION	9754	79549	10.9
202503	19	"QUALITY ASSURANCE, INSPECTION, AND GRADING GROUP"	1910	QUALITY ASSURANCE	9581	101657	14.3
202503	12	"COPYRIGHT, PATENT, AND TRADEMARK GROUP"	1224	PATENT EXAMINING	9513	156161	13.8
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	81	FIRE PROTECTION AND PREVENTION	9509	67840	11.7
202503	88	AIRCRAFT OVERHAUL FAMILY	8852	AIRCRAFT MECHANIC	9018	78326	8.6
202503	21	TRANSPORTATION GROUP	2101	TRANSPORTATION SPECIALIST	8729	118970	15
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	671	HEALTH SYSTEM SPECIALIST	8572	104039	13.8
202503	20	SUPPLY GROUP	2005	SUPPLY CLERICAL AND TECHNICIAN	8333	55964	9.1
202503	2	HUMAN RESOURCES MANAGEMENT GROUP	203	HUMAN RESOURCES ASSISTANCE	8332	57593	8
202503	8	ENGINEERING AND ARCHITECTURE GROUP	856	ELECTRONICS TECHNICAL	8135	107138	12.6
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	661	PHARMACY TECHNICIAN	7749	66635	8.5
202503	10	INFORMATION AND ARTS GROUP	1035	PUBLIC AFFAIRS	7623	120238	11.9
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	318	SECRETARY	7494	63224	13.4
202503	20	SUPPLY GROUP	2010	INVENTORY MANAGEMENT	7394	84155	12.4
202503	17	EDUCATION GROUP	1702	EDUCATION AND TRAINING TECHNICIAN	6892	56718	9.3
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	18	SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT	6680	110678	13.8
202503	58	TRANSPORTATION/MOBILE EQUIPMENT MAINTENANCE FAMILY	5801	MISC TRANSPORTATION/MOBILE EQUIPMT MAINTNE	6679	75787	8.2
202503	5	ACCOUNTING AND BUDGET GROUP	503	FINANCIAL CLERICAL AND ASSISTANCE	6600	57729	10.2
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6907	MATERIALS HANDLER	6277	116753	9.7
202503	9	LEGAL AND KINDRED GROUP	950	PARALEGAL SPECIALIST	6251	98575	14.6
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	644	MEDICAL TECHNOLOGIST	6218	108045	11.1
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1601	"EQUIPMENT FACILITIES, AND SERVICES"	6212	111458	15
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	647	DIAGNOSTIC RADIOLOGIC TECHNOLOGIST	6121	97179	10.2
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1670	EQUIPMENT SERVICES	6044	101234	13.3
202503	5	ACCOUNTING AND BUDGET GROUP	570	FINANCIAL INSTITUTION EXAMINING	6010	164079	14
202503	8	ENGINEERING AND ARCHITECTURE GROUP	850	ELECTRICAL ENGINEERING	6003	129458	11.7
202503	11	BUSINESS AND INDUSTRY GROUP	1165	LOAN SPECIALIST	5934	89139	9.9
202503	38	METAL WORK FAMILY	3806	SHEET METAL MECHANIC	5876	73355	10
202503	15	MATHEMATICS AND STATISTICS GROUP	1515	OPERATIONS RESEARCH	5862	140821	11.8
202503	74	FOOD PREPARATION AND SERVING FAMILY	7408	FOOD SERVICE WORKING	5834	47810	7.8
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	28	ENVIRONMENTAL PROTECTION SPECIALIST	5807	117989	13.5
202503	4	BIOLOGICAL SCIENCES GROUP	404	BIOLOGICAL SCIENCE TECHNICIAN	5597	55254	8.6
202503	11	BUSINESS AND INDUSTRY GROUP	1152	PRODUCTION CONTROL	5494	83423	12.6
202503	18	INVESTIGATION GROUP	1862	CONSUMER SAFETY INSPECTION	5359	72705	13.9
202503	17	EDUCATION GROUP	1710	EDUCATION AND VOCATIONAL TRAINING	5326	102848	11.7
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	675	MEDICAL RECORDS TECHNICIAN	5271	62387	11.1
202503	20	SUPPLY GROUP	2003	SUPPLY PROGRAM MANAGEMENT	5219	98046	12.1
202503	13	PHYSICAL SCIENCES GROUP	1320	CHEMISTRY	5165	140120	13.9
202503	28	ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY	2805	ELECTRICIAN	5104	77449	8.5
202503	58	TRANSPORTATION/MOBILE EQUIPMENT MAINTENANCE FAMILY	5803	HEAVY MOBILE EQUIPMENT MECHANIC	5059	73934	11.5
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	110	ECONOMIST	4888	151094	12.6
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	85	SECURITY GUARD	4887	55256	7.9
202503	4	BIOLOGICAL SCIENCES GROUP	457	SOIL CONSERVATION	4882	84996	12.4
202503	5	ACCOUNTING AND BUDGET GROUP	525	ACCOUNTING TECHNICIAN	4837	55032	10.3
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	685	PUBLIC HEALTH PROGRAM SPECIALIST	4822	135601	11.6
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5703	MOTOR VEHICLE OPERATING	4740	62340	10.1
202503	8	ENGINEERING AND ARCHITECTURE GROUP	854	COMPUTER ENGINEERING	4705	137388	13.3
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	391	TELECOMMUNICATIONS	4568	117878	13.6
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	344	MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE	4415	63711	12.5
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	649	MEDICAL INSTRUMENT TECHNICIAN	4378	78920	9.6
202503	18	INVESTIGATION GROUP	1825	AVIATION SAFETY	4316	142755	14.6
202503	11	BUSINESS AND INDUSTRY GROUP	1109	GRANTS MANAGEMENT	4182	122571	12.6
202503	26	ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2604	ELECTRONICS MECHANIC	4144	77509	10.4
202503	9	LEGAL AND KINDRED GROUP	986	LEGAL ASSISTANCE	4124	64987	11.4
202503	20	SUPPLY GROUP	2001	GENERAL SUPPLY	4056	87445	12.4
202503	11	BUSINESS AND INDUSTRY GROUP	1170	REALTY	4031	106555	14.1
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	86	SECURITY CLERICAL AND ASSISTANCE	3994	60589	10.2
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	603	PHYSICIAN ASSISTANT	3956	160193	9
202503	10	INFORMATION AND ARTS GROUP	1001	GENERAL ARTS AND INFORMATION	3933	122643	12.6
202503	9	LEGAL AND KINDRED GROUP	930	HEARINGS AND APPEALS	3910	124130	14.4
202503	74	FOOD PREPARATION AND SERVING FAMILY	7404	COOKING	3905	68728	11.4
202503	15	MATHEMATICS AND STATISTICS GROUP	1530	STATISTICS	3843	136078	13.1
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	130	FOREIGN AFFAIRS	3843	148817	12
202503	41	PAINTING AND PAPERHANGING FAMILY	4102	PAINTING	3831	72608	10.4
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	633	PHYSICAL THERAPIST	3783	120629	9.3
202503	16	"EQUIPMENT, FACILITIES, AND SERVICES GROUP"	1640	FACILITY OPERATIONS SERVICES	3770	106881	14.8
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	25	PARK RANGER	3762	85055	14.1
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	696	CONSUMER SAFETY	3635	135711	14.6
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	681	DENTAL ASSISTANT	3541	57138	9.4
202503	42	PLUMBING AND PIPEFITTING FAMILY	4204	PIPEFITTING	3482	79340	9.1
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	630	DIETITIAN AND NUTRITIONIST	3448	98825	9.1
202503	11	BUSINESS AND INDUSTRY GROUP	1169	INTERNAL REVENUE OFFICER	3426	96571	12.7
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	622	MEDICAL SUPPLY AIDE AND TECHNICIAN	3319	66975	8.1
202503	21	TRANSPORTATION GROUP	2102	TRANSPORTATION CLERK AND ASSISTANT	3294	57038	8.9
202503	34	MACHINE TOOL WORK FAMILY	3414	MACHINING	3136	77718	9.9
202503	2	HUMAN RESOURCES MANAGEMENT GROUP	260	EQUAL EMPLOYMENT OPPORTUNITY	3120	124725	16.8
202503	8	ENGINEERING AND ARCHITECTURE GROUP	819	ENVIRONMENTAL ENGINEERING	3098	132421	16.4
202503	8	ENGINEERING AND ARCHITECTURE GROUP	840	NUCLEAR ENGINEERING	3000	128038	12.1
202503	11	BUSINESS AND INDUSTRY GROUP	1105	PURCHASING	2984	61088	10.9
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	306	GOVERNMENT INFORMATION SPECIALIST	2967	118151	15.8
202503	57	TRANSPORTATION/MOBILE EQUIPMENT OPERATION FAMILY	5716	ENGINEERING EQUIPMENT OPERATING	2956	73579	11.3
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5334	MARINE MACHINERY MECHANIC	2954	79764	8.6
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	107	HEALTH INSURANCE ADMINISTRATION	2878	145397	14.2
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	645	MEDICAL TECHNICIAN	2866	56747	8.6
202503	26	ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2610	ELECTRONIC INTEGRATED SYSTEMS MECHANIC	2829	92936	11.1
202503	21	TRANSPORTATION GROUP	2181	AIRCRAFT OPERATION	2781	142679	9.2
202503	18	INVESTIGATION GROUP	1810	GENERAL INVESTIGATION	2766	115787	14
202503	13	PHYSICAL SCIENCES GROUP	1340	METEOROLOGY	2727	123622	15.9
202503	47	GENERAL MAINTENANCE AND OPERATIONS WORK FAMILY	4701	MISC GENERAL MAINTENANCE & OPERATIONS WORK	2672	98959	15.4
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	665	SPEECH PATHOLOGY AND AUDIOLOGY	2504	113229	10.3
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5306	AIR CONDITIONING EQUIPMENT MECHANIC	2491	75861	8.9
202503	37	METAL PROCESSING FAMILY	3703	WELDING	2478	78624	9.9
202503	17	EDUCATION GROUP	1750	INSTRUCTIONAL SYSTEMS	2431	115421	11.6
202503	18	INVESTIGATION GROUP	1805	INVESTIGATIVE ANALYSIS	2398	113302	14.3
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	342	SUPPORT SERVICES ADMINISTRATION	2346	94217	14.9
202503	13	PHYSICAL SCIENCES GROUP	1310	PHYSICS	2312	155280	13.8
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	680	DENTAL OFFICER	2253	220487	9.2
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6914	STORE WORKING	2216	49708	7.5
202503	21	TRANSPORTATION GROUP	2150	TRANSPORTATION OPERATIONS	2202	99784	13.5
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	631	OCCUPATIONAL THERAPIST	2185	116269	9.1
202503	9	LEGAL AND KINDRED GROUP	967	PASSPORT AND VISA EXAMINING	2086	88692	10.2
202503	47	GENERAL MAINTENANCE AND OPERATIONS WORK FAMILY	4742	UTILITY SYSTEMS REPAIRING-OPERATING	2083	83503	11.8
202503	4	BIOLOGICAL SCIENCES GROUP	486	WILDLIFE BIOLOGY	2082	95599	15.4
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6901	MISC WAREHOUSING AND STOCK HANDLING	2059	59013	9
202503	8	ENGINEERING AND ARCHITECTURE GROUP	808	ARCHITECTURE	2054	125621	10.5
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	305	MAIL AND FILE	2029	49448	13.8
202503	86	ENGINE OVERHAUL FAMILY	8602	AIRCRAFT ENGINE MECHANIC	2010	77058	9.9
202503	4	BIOLOGICAL SCIENCES GROUP	482	FISH BIOLOGY	1992	114066	15.4
202503	11	BUSINESS AND INDUSTRY GROUP	1173	HOUSING MANAGEMENT	1974	77771	10.1
202503	4	BIOLOGICAL SCIENCES GROUP	403	MICROBIOLOGY	1940	140441	15.1
202503	8	ENGINEERING AND ARCHITECTURE GROUP	809	CONSTRUCTION CONTROL TECHNICAL	1922	93441	12.3
202503	52	MISCELLANEOUS OCCUPATIONS FAMILY	5210	RIGGING	1909	80669	9.7
202503	4	BIOLOGICAL SCIENCES GROUP	456	WILDLAND FIRE MANAGEMENT	1908	69817	13.2
202503	13	PHYSICAL SCIENCES GROUP	1315	HYDROLOGY	1903	114328	16.6
202503	4	BIOLOGICAL SCIENCES GROUP	460	FORESTRY	1870	86729	13.4
202503	7	VETERINARY MEDICAL SCIENCE GROUP	701	VETERINARY MEDICAL SCIENCE	1865	130319	12.4
202503	20	SUPPLY GROUP	2091	SALES STORE CLERICAL	1830	40522	7
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	6	CORRECTIONAL INSTITUTION ADMINISTRATION	1815	123208	19
202503	28	ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY	2810	HIGH VOLTAGE ELECTRICIAN	1810	110100	11.6
202503	13	PHYSICAL SCIENCES GROUP	1311	PHYSICAL SCIENCE TECHNICIAN	1794	83137	11.4
202503	21	TRANSPORTATION GROUP	2130	TRAFFIC MANAGEMENT	1782	96204	13.7
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	193	ARCHEOLOGY	1719	92825	10
202503	10	INFORMATION AND ARTS GROUP	1084	VISUAL INFORMATION	1672	106125	13.5
202503	19	"QUALITY ASSURANCE, INSPECTION, AND GRADING GROUP"	1980	AGRICULTURAL COMMODITY GRADING	1665	69114	10.7
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5378	POWERED SUPPORT SYSTEMS MECHANIC	1657	81195	9.2
202503	88	AIRCRAFT OVERHAUL FAMILY	8801	MISCELLANEOUS AIRCRAFT OVERHAUL	1655	101507	15.6
202503	15	MATHEMATICS AND STATISTICS GROUP	1529	MATHEMATICAL STATISTICS	1645	151341	12.8
202503	13	PHYSICAL SCIENCES GROUP	1316	HYDROLOGIC TECHNICIAN	1636	71877	11.5
202503	1	"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP"	102	SOCIAL SCIENCE AID AND TECHNICIAN	1628	66133	9.3
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	399	ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE	1587	43574	1.1
202503	9	LEGAL AND KINDRED GROUP	963	LEGAL INSTRUMENTS EXAMINING	1570	67013	11.2
202503	69	WAREHOUSING AND STOCK HANDLING FAMILY	6912	MATERIALS EXAMINING AND IDENTIFYING	1539	60102	8.4
202503	35	GENERAL SERVICES AND SUPPORT WORK FAMILY	3502	LABORING	1528	48433	6.8
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	690	INDUSTRIAL HYGIENE	1524	115893	12.5
202503	21	TRANSPORTATION GROUP	2151	DISPATCHING	1505	59420	9
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	662	OPTOMETRIST	1493	146218	9.8
202503	13	PHYSICAL SCIENCES GROUP	1350	GEOLOGY	1469	117766	12.2
202503	14	LIBRARY AND ARCHIVES GROUP	1421	ARCHIVES TECHNICIAN	1456	65259	11.7
202503	5	ACCOUNTING AND BUDGET GROUP	545	MILITARY PAY	1456	56500	9.2
202503	Invalid	Invalid	*	Invalid	1419	96071	7.3
202503	6	"MEDICAL, HOSPITAL, DENTAL, AND PUBLIC HEALTH GROUP"	636	REHABILITATION THERAPY ASSISTANT	1398	66960	8.8
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	326	OFFICE AUTOMATION CLERICAL AND ASSISTANCE	1389	50816	12.6
202503	9	LEGAL AND KINDRED GROUP	935	ADMINISTRATIVE LAW JUDGE	1384	205877	20.1
202503	15	MATHEMATICS AND STATISTICS GROUP	1560	DATA SCIENCE SERIES	1365	131832	5
202503	11	BUSINESS AND INDUSTRY GROUP	1160	FINANCIAL ANALYSIS	1358	166876	13.2
202503	11	BUSINESS AND INDUSTRY GROUP	1176	BUILDING MANAGEMENT	1338	114471	14.5
202503	5	ACCOUNTING AND BUDGET GROUP	505	FINANCIAL MANAGEMENT	1326	165416	19.8
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	60	CHAPLAIN	1323	99964	8.7
202503	3	"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP"	308	RECORDS AND INFORMATION MANAGEMENT	1309	111693	15
202503	8	ENGINEERING AND ARCHITECTURE GROUP	806	MATERIALS ENGINEERING	1291	146412	13.4
202503	43	PLIABLE MATERIALS WORK FAMILY	4352	COMPOSITE/PLASTIC FABRICATING	1268	75646	9.7
202503	4	BIOLOGICAL SCIENCES GROUP	408	ECOLOGY	1260	118786	14.3
202503	54	INDUSTRIAL EQUIPMENT OPERATION FAMILY	5426	LOCK AND DAM OPERATING	1258	68513	10.6
202503	26	ELECTRONIC EQUIPMENT INSTALLATION AND MAINTENANCE FAMILY	2606	ELECTRONIC INDUSTRIAL CONTROLS MECHANIC	1238	88103	11.1
202503	11	BUSINESS AND INDUSTRY GROUP	1144	COMMISSARY MANAGEMENT	1228	83571	17.6
202503	53	INDUSTRIAL EQUIPMENT MAINTENANCE FAMILY	5352	INDUSTRIAL EQUIPMENT MECHANIC	1221	97605	12.9
202503	38	METAL WORK FAMILY	3820	SHIPFITTING	1204	81238	9.2
202503	0	MISCELLANEOUS OCCUPATIONS GROUP	20	COMMUNITY PLANNING	1204	120403	9.7
202503	10	INFORMATION AND ARTS GROUP	1082	WRITING AND EDITING	1191	127133	13.3
202503	28	ELECTRICAL INSTALLATION AND MAINTENANCE FAMILY	2892	AIRCRAFT ELECTRICIAN	1190	74741	8.2
202503	58	TRANSPORTATION/MOBILE EQUIPMENT MAINTENANCE FAMILY	5823	AUTOMOTIVE MECHANIC	1186	76085	12.6
202503	74	FOOD PREPARATION AND SERVING FAMILY	7407	MEATCUTTING	1178	59603	11.8
202503	9	LEGAL AND KINDRED GROUP	998	CLAIMS ASSISTANCE AND EXAMINING	1158	65453	19.2
